Speaker,Keynote,Mentor,Judge,First Name,Last Name,ID,Filename,MIT association,Title,Bio,"Marketing permission given?
(Does not influence website visibility)"
Y,N,N,N,Dr. Benedetto,Marelli,Dr.BenedettoMarelli,benedetto.jpg,Y,"Professor, MIT Department of Civil and Environmental Engineering","Benedetto Marelli is the Paul M. Cook Career Development Assistant Professor in the Department of Civil and Environmental Engineering at the Massachusetts Institute of Technology. His research group works in the area of structural biopolymers and self-assembly with applications in agriculture, food safety and food security. By combining biofabrication strategies with bioinspired materials, Benedetto’s research aims at using Nature’s building blocks as advanced materials to liaise the biotic and abiotic worlds and to build a sustainable future. Benedetto’s research interests include synthesis, extraction and assembly of structural biopolymers, biocomposites, additive manufacturing, and emerging technologies.",Yes but they request that photo credit be given when possible to Photo: Lillie Paquette / MIT School of Engineering
Y,N,Y,Y,Sarah Jane,Maxted,SarahJaneMaxted,Sarah-Jane-Maxted.jpg,Y,"Executive Director, MIT Regional Entrepreneurship Acceleration Program","Sarah Jane Maxted accelerates innovation ecosystems whether it is within an institution or in the community, a broader region, or globally. This is clearly highlighted by her current position leading the MIT Regional Entrepreneurship Acceleration Program (MIT REAP) where she fosters innovation and entrepreneurial (I&E) growth strategies for regions globally. Her responsibilities at MIT also include being a Director in the MIT Office of International Programs as well as mentoring and evaluating start-ups, and serving on several I&E boards across the institute. Of note, she launched the inaugural MIT Innovation Ecosystem Symposium. Originally from Colorado, she went to Duke University where she double majored in Policy and Cultural Anthropology; Minor in Dance. She has also spent significant time in Washington, D.C. working for President Obama’s Administration.",Yes -- pending approval by Travis Hunter
Y,N,Y,N,Nick,Meyer,NickMeyer,NickMeyer.jpg,Y,"Entrepreneur in Residence, MIT Martin Trust Center","Nick Meyer is an Entrepreneur-in-Residence at the Martin Trust Center for MIT Entrepreneurship where he mentors students. Nick has spent his career founding startups and been product or engineering lead for software companies in industries as diverse as social, video, travel, music, and gaming. While still in high school, Nick co-founded the MMOG (multi-player massive online game) Kings of Chaos, which saw hundreds of thousands of players daily. During his one year at MIT, Nick founded Reble.FM, a peer-to-peer streaming music service that was partially funded through Y Combinator and was acquired by Playlist.com three years later. He then co-founded MileWise in 2009, a travel metasearch engine, where his roles included UI design, PR and marketing, and fundraising, until the company was acquired by Yahoo! in 2013. His most recent company was Sup, a mobile video app that was funded by Khosla Ventures. Nick is an IASI certified ski instructor and coach and a PADI certified scuba instructor.",Yes 
Y,N,Y,N,Mike,Michalec,MikeMichalec,michael.jpg,N,"Co-founder and Managing Director, EdTech Asia","Mike is the co-founder and managing director of EdTech Asia, a consultancy and convening organization that serves to catalyze a collaborative and cohesive learning innovation ecosystem throughout the APAC region. Founded in 2013, EdTech Asia provides education market intelligence, business development and research services for Asian markets. Additionally, EdTech Asia community programs have organized over 60 events in 11 countries including an annual learning innovation summit, bootcamp, hackathons, and workshops. In addition to his current position he has 10 years of experience as a technical consultant within the international development sector working for multilateral and bilateral organizations such as UNICEF, UNESCO, and USAID. Mike is also regionally active in the entrepreneurship community having organized and/or judged numerous Startup Weekends, the KIES Edtech awards, BETT Asia, and GSVC. Mike holds a BSc from the University of Colorado at Boulder, an MEd from George Mason University and has taught social entrepreneurship relevant coursework at both Thammasat's Business School and School of Global Studies in Bangkok since 2009.",yes
Y,N,N,N,Helene,Michel,HeleneMichel,Helene-Michel.jpg,N,"Professor of Marketing, Grenoble Ecole de Management","Hélène Michel is a professor of Innovation Management at Grenoble Ecole de Management (France). She is also a game designer. Her research work is focused on the use of games to support innovation and inspire entrepreneurship. She developed several serious games (Tech it!, Superwisor, Game of Deans) and gamified innovation methods (Cubification) that are now used by companies, international organizations such as United Nations Conference on Trade and Development, and higher educational institutions. The games she develops have an international recognition (MBA Innovation and Re-Imagine Education Awards). Prof. Michel never moves without her Rubik's cube!",yes
Y,Y,N,N,Lesley,Millar-Nicholson,LesleyMillar-Nicholson,lesley.jpg,Y,"Director, MIT Technology Licensing Office","Lesley Millar-Nicholson has been the Director of MIT Technology Licensing Office (TLO) since July 2016. She leads a team of professional staff managing the intellectual assets and tech transfer process for MIT’s inventions. Located in Kendall Square the TLO is responsible for engagement with faculty, staff and students and for the efficient and effective transfer of IP into the market place to ensure impact in society. Working with MIT startup companies, VC’s and corporate partners the team manage around 800 inventions a year from the MIT and Lincoln Lab campuses. Prior to arriving in Cambridge Ms. Millar-Nicholson had served for ten years as Director of the Office of Technology Management (OTM) at the University of Illinois, Urbana/Champaign. Ms. Millar-Nicholson is the 2017 President of the Board of Governors of Certified Licensing Professionals Inc, (CLP Inc.) an active member of AUTM and the Licensing Executive Society. A native of Scotland, Ms. Millar-Nicholson has a B.Ed., M.Ed, MBA and is a Certified Licensing Professional.",Yes -- see email note about MIT brand use 
Y,N,Y,N,Megan,Mitchell,MeganMitchell,MMitchell.jpg,Y,"Fellowship and Student Programs Manager, MIT Legatum Center","Megan Mitchell is the Fellowship and Student Programs Manager for the Legatum Center for Development and Entrepreneurship. Prior to joining MIT in January of 2017, Megan managed UBS Americas’ Elevating Entrepreneurs initiative, a portfolio of philanthropic partnerships and programs focused on driving toward a more inclusive entrepreneurial landscape. This included Project Entrepreneur, a collaboration with Rent the Runway Foundation to increase the pipeline of women building economically impactful companies. Prior to UBS, Megan oversaw co-curricular and experiential learning activities for Wharton Entrepreneurship, including the annual business plan competition and global internship program. She also served as a member of the Venture Initiation Program management team, and led development of the department’s venture development programs at the school’s San Francisco campus. Megan holds a BA in Economics and Public Policy Studies from Duke University and a MSEd from University of Pennsylvania’s Graduate School of Education.",Yes 
N,N,N,Y,Thanapong,Na Ranong,ThanapongNaRanong,thanapong.jpg,N,"Managing Director, Beacon Venture Capital","Thanapong is the managing director of Beacon Venture Capital, a wholly-owned corporate venture capital fund of Kasikornbank PLC. With over 20 years of experience in telecommunications and technology industry, Thanapong has been actively involved in the Thailand startup ecosystem since its early days. His first investment deal in Ookbee has been a classic case that inspired many new generations of Thai entrepreneurs. Prior to InVent, Thanapong was the Deputy Director of the Software Industry Promotion Agency (SIPA). Thanapong was also among the founding team of CS Loxinfo which is now a public company (SET: CSL) with an annual revenue of over $100 million. Thanapong holds an MBA from Sasin Graduate Institute of Business Administration and an executive program certificate in Venture Capital from Haas School of Business, University of California Berkeley.",No
Y,N,N,N,Giang,Nguyen,GiangNguyen,giang.jpg,N,"Software Engineer, Grab","I'm Giang Nguyen, or you can call me Johnnie. I based in Ho Chi Minh city, Vietnam. I'm currently working at Grab as an android developer. My job is writing code as the other software engineers and take care of accessibility of the Grab passenger app. In my position, I hope that I can brings more confort to blind people who using our app everyday.",request sent
Y,Y,N,N,Peng T.,Ong,PengT.Ong,peng.jpg,N,"Managing Partner, Monk’s Hill Ventures","Peng is an entrepreneur who invests in entrepreneurs. He does so primarily through his role as Managing Partner at Monk's Hill Ventures — a technology venture fund based in Southeast Asia that he co-founded. Peng was the co- founder and CTO of Match.com (acquired by IAC). After Match.com, he was the founder and CEO of Interwoven, which went public on NASDAQ and grew to a $10B market cap, before being acquired and is now part of HP. After Interwoven, Peng founded Encentuate (acquired by IBM). Most recently, Peng was a Partner at GSR Ventures, a leading VC in China. Peng has also served on many boards, including SingTel and YY.com. He is currently the Chairman of SolveEducation!. Peng earned a B.S. in Electrical Engineering from the University of Texas and an M.S. in Computer Science from the University of Illinois.",Yes
Y,N,N,N,Rohan,Pasari,RohanPasari,rohan.jpg,N,"Co-founder and CEO, Cialfo","Rohan is the co-founder and CEO of Cialfo, a college guidance platform. He co-founded Cialfo with the vision to help 1 million students globally reach their dream colleges by 2020. Cialfo's college guidance platform is his second venture, his first, an college education consultancy, was acquired by ChangedEDU, an education private equity group, backed by Verlinvest, a Belgian family office. Cialfo has been named the winner of EdTechX Asia awards, named among the top 5 startups to watch in 2017 and been featured in CNBC, Wall Street Journal, Straits Times, Sohu, Times of India to name a few. Rohan is a double Gold Medalist from Nanyang Technological University with a background in Engineering, Economics and Entrepreneurship. He is also a member of International Association for College Admission Counselling (IACAC), HECA and has been invited to speaks at various conferences such as Echelon, EdTech Asia, EdTechX, GET summits. When he is not thinking about education, he is either painting or diving off boats to be with the underwater world. ",yes
Y,N,Y,N,Dipul,Patel,DipulPatel,dip.jpg,Y,"Entrepreneur in Residence, MIT Martin Trust Center","Dip is an an Entrepreneur-in-Residence at the Martin Trust Center for MIT Entrepreneurship. Prior to MIT, Dip co-founded and sold Ecovent, the only intelligent home zoning system that delivers complete room-by-room climate control through easy-to-install, self-configuring sensors and vents. Dip devised the idea of Ecovent and launched the company in 2013, while earning his MBA at MIT Sloan School of Management.  Over the course of 5 years Ecovent went from idea to suscessful product launch! Prior to that Dip spent eight years at Lockheed Martin working in engineering, program management, and sales for its radar, electronic warfare, submarine and ballistic missile defense programs. In addition to his MBA, he received a Bachelor of Science in Electrical Engineering from Drexel University and his Masters in Electrical Engineering from the University of Pennsylvania. Dip lives near the water with his awesome wife Sandy and dog Pi, you can find his place by following the scent of delicious barbeque. ",yes
N,N,Y,N,Nick,Pisalyaput,NickPisalyaput,nick.jpg,N,"Faculty, Sasin School of Management","Nick is an investor and entrepreneur, with over 25 years’ experience. He received B.Sc. from Bristol University (UK) and MBA from Sasin School of Management (Thailand), where he is currently a start-up mentor and a faculty member specialising in Entrepreneurship, Sustainability, and Business Ethics. Nick also serves as the founding Director of the Sasin Sustainability and Entrepreneurship Center. Through roles such as President of the Corporate Responsibility & Ethics Association for Thai Enterprise (CREATE), President of Net Impact Bangkok Professional Chapter, and Thailand’s representative of the Caux Round Table, Nick was honoured by the World Economic Forum (WEF) as a Young Global Leader in 2011.",
Y,N,N,N,Dr. Trairak,Pisitkun,Dr.TrairakPisitkun,Trairak.jpg,N,"Director, Center of Excellence in Systems Biology, Chulalongkorn University","Trairak Pisitkun is a physician-scientist who is now directing a biomedical research team at the Faculty of Medicine, Chulalongkorn University, Thailand. He is also a volunteer scientist at the National Institutes of Health, USA. His interest is in the application of systems biology approaches using proteomics, next-generation sequencing, bioinformatics, and advanced antibody technology to address unmet needs in clinical medicine, especially in the cutting edge treatment of cancer and autoimmune disease. His current projects include the development of personalized cancer vaccine, the generation of therapeutic monoclonal antibodies for cancer immunotherapy, and an initiative to sequence whole genomes of Thai population for delivering future precision medicine.",yes 
Y,N,N,N,Pawoot,Pongvitayapanu,PawootPongvitayapanu,Pawoot1.jpg,Y,"Founder and CEO, TARAD.com","Pawoot Pongvitayapanu (Pom), often called Thailand's E-commerce Pioneer, is an internet entrepreneur, and CEO & Founder of TARAD.com and the efrastructure Group. He's been active in the internet community since 1999, and is a start-up investor in more than 10 companies. He is also a columnist and radio host. He has two Masters degrees in Internet & E-Commerce from ABAC University, and an Executive MBA from Sasin School of Management. He is also President of the Thai E-Commerce Association and founder of the Thai E-Payment Association and the Thai E-Logistic Club. He also serves on the Thailand Fintech Association, the Thailand Tech Startup Association, Consultant for Thai Webmaster Association.",yes
N,N,N,Y,Krating,Poonpol,KratingPoonpol,krating.jpg,N,"Managing Partner, 500 TukTuks","Krating Poonpol is currently a Managing Partner, 500 TukTuks - a 15 million USD micro VC fund focusing on Thailand/SEA. He is also a Founder of Disrupt Technology Venture - a leading startup pre-accelerator program in SEA. Krating was selected Thailand's Business Man of The Year in 2016 by The Nation and Asia21 Young Leader of 2017 by Asia Society. Krating is the first Thai selected to participate in prestigious Kauffman Fellow program. Before coming back to Thailand, Krating used to work and live and Silicon Valley for 7 years most prominently as Product Marketing Manager ( Global Lead ) of Google Earth. Krating graduated from Stanford MBA in 2007.",Yes
Y,Y,N,N,Dr. Kobsak,Pootrakool,Dr.KobsakPootrakool,kobsak.jpg,Y,Minister attached to the Prime Minister’s Office of Thailand,"Since November 2017, Dr. Kobsak Pootrakool serves as Minister attached to the Prime Minister’s Office of Thailand. He also served as a former member of the Constitution Drafting Committee before being appointed as the Minister.
In December 2010, Dr. Kobsak joined Bangkok Bank, as Executive Vice President, International Banking Group. 
From 1996 to 2010, he worked with the Bank of Thailand and the Stock Exchange of Thailand (SET), where he helped develop and implement monetary policy and financial institution policy. He was an Executive of the Monetary Policy Strategy Division and seconded to SET from 2008 to 2009 as Senior Vice President in Strategic Planning Department. 
Dr. Kobsak holds a Ph.D. in macroeconomics and international economics from the Massachusetts Institute of Technology, and a B.A. in mathematics and economics from Williams College.",Received bio through MIT Alumni Thailand (Piya). Waiting for permission to use his photo.
Y,N,N,N,David,Ritter,DavidRitter,ritter.png,N,"CEO, Penta Global Foundation","Mr. Ritter graduated with honors from the University of Southern California in 2006. He spent ten years working in private equity, specializing in cross-border real estate investments between Asian countries and the U.S. In 2014, Mr. Ritter served as the Project Director at Donghu Group Investments (now an affiliate of the Shanghai Airport Group), managing a project portfolio with an asset value over $1 billion USD. His portfolio included marquis projects in New York City and Melbourne. In 2016, Mr. Ritter headed the Hongwei Investment Center, a joint venture between DGI and Five Bulls Fund, one of China’s largest private equity platforms. In addition to his long experience in the finance industry, David was an early-phase investor in Bitcoin and has participated in early-phase investments in a number of large crytpocurrency projects. Mr. Ritter currently serves as the CEO of Penta Global Foundation.",yes
Y,N,N,Y,Jonathan,Ruane,JonathanRuane,ruane.png,Y,"Lecturer, MIT Sloan School of Management","Jonathan Ruane is a Lecturer in the Global Economics and Management group at the MIT Sloan School of Management and a Digital Fellow at MIT’s Initiative on the Digital Economy (IDE). His interests are at the intersection of technology, entrepreneurship, strategy and international markets. He is a Professor at Trinity College Dublin and a former Fulbright recipient. Ruane cofounded the ‘Global Business of Artificial Intelligence and Robotics’ graduate course with Prof Simon Johnson in addition to faculty teaching positions across MBA, EMBA, and Executive Education courses at MIT. He worked closely with Andrew McAfee and Erik Brynjolfsson on “Machine Platform Crowd.” Prior to coming to MIT, Ruane was CEO of Eventovate, a VC backed SAAS startup that he cofounded and subsequently sold. The business was listed in the Techcrunch Euro Top 100, and Ruane himself was named in the Top 40 Irish Entrepreneurs Under 40. He started his career with Procter and Gamble. Ruane serves on the board of the UCD Cantillon Research Centre for Entrepreneurship, Design and Innovation.",yes
Y,N,N,N,Chanond,Ruangkritya,ChanondRuangkritya,chanond.jpg,N,"President and CEO, Ananda Development PCL","Mr. Chanond Ruangkritya is President & Chief Executive Officer at Ananda Urban Tech. He is on the Board of Directors at Ananda MF Asia Chongnonsi Co., Ltd., Ananda MF Asia Samyan Co. Ltd., Ananda Mf Asia Asoke Co. Ltd., Ananda MF Asia Co. Ltd., Ananda Mf Asia Ratchathewi Co. Ltd., Ideo Condo Co. Ltd., Agent (Property Expert) Co., Ltd., Helix Co. Ltd., Work Community Management Co. Ltd., Baan Niravana Co., Ltd., Bira Rt Kart Co. Ltd., Ananda Development Two Co. Ltd., Bira Circuit One Co. Ltd., Ananda Development One Co. Ltd., Bira Kart Co. Ltd., Bludeck Co. Ltd., Maduro Co. Ltd., Kloset Design Co. Ltd., Pimanda Development Co. Ltd. and Ananda Development Public Co. Ltd. Mr. Ruangkritya was previously employed as Chairman by Ananda Development Co., Ltd. He also served on the board at Chiangmai Green Valley Co., Ltd., Chiangmai Green Valley Country Club Co. Ltd., Windmill Architect Co. Ltd. and Bira Circuit Co. Ltd. Mr. Ruangkritya received his undergraduate degree from the University of California, Berkeley and a graduate degree from London School of Economics & Political Science.","Yes, through MIT Alumni Thailand (Piya)"
Y,N,N,N,Dr. Twarath,Sutabutr,Dr.TwarathSutabutr,twarath.jpg,Y,"Director General of Energy Policy and Planning Office, Thailand Ministry of Energy","Dr. Twarath Sutabutr is Director-General of Energy Policy and Planning Office (EPPO) since July 2015. He has experiences in a wide range of energy policy coordination and initiatives such as renewable energy, energy efficiency and international energy cooperation. His other current positions include Board of Directors of PTT Exploration and Production Public Company Limited and Advisor to the Board of Directors of Thai Green Building Institutes. Prior to joining EPPO, he served as Deputy Permanent Secretary and Deputy Director-General of Department of Alternative Energy Development and Efficiency. Moreover, when he served as Director of Policy and Strategy Coordination Office, he assumed parts of the work with National Economic and Social Development Board in energy infrastructure development planning and involved in liberalization of electricity and natural gas sectors. Dr. Twarath holds Sc.D. in Civil and Environment Engineering from Massachusetts Institute of Technology (MIT), USA, Master of Geotechnical Engineering from Asian Institute of Technology (AIT) and Bachelor of Civil Engineering from Chulalongkorn University, Thailand.","Yes, through MIT Alumni Thailand (Piya)"
N,N,N,N,Paul,Suthapong,PaulSuthapong,paul.jpg,Y,"Founder and CEO, SpotOn","Paul Suthapong is a technology entrepreneur with more 13 years of experience in human engagement innovations with expertise in digital retails innovation, digital interactive system, and smart out-of-home advertising. Paul is the CEO/Founder of SpotOn International Group, a set of companies and startups implementing innovative solutions in on-location audience engagements such as digital signage systems and location-based mobile applications. Paul graduated MBA Entrepreneurship and Innovation from Massachusetts Institute of Technology - Sloan School of Management. He has previously worked as lead engineer at Microsoft Corporation in Redmond, WA for more than 6 years. Currently Paul is also a core committee member of Thailand Technology Startup Association and Bangkok Venture Club. Paul is also a startup educator recently curated the national online startup course for Thailand and is actively teaching startup and entrepreneurship subjects at Chulalongkorn Business School.",
Y,N,N,N,Tracy,Tan,TracyTan,tracy.jpg,Y,"Director of MITx MicroMasters, MIT Open Learning ","Tracy Tan is the Director of MicroMasters at MIT Open Learning. She drives the development and growth of the MicroMasters programs offered and helps shape and build MITx MicroMasters global ecosystem, including strategic engagement with partner universities, collaborating companies, and MicroMasters learners. Tracy has spent almost all her career in higher education. In her previous job, she managed a portion of the global portfolio at Harvard Business School Executive Education. She also managed educational programs and large events at Emerson College and Wheelock Collage. Prior to coming to the US, Tracy taught management classes at a Chinese University. Tracy has a Bachelor’s degree in Management and a Master’s degree in Intercultural Management.",Yes 
Y,N,N,N,Dr. Num,Tanthuwanit,Dr.NumTanthuwanit,num.jpg,N,"CEO, Omni International Hospitals ","Dr. Num Tanthuwanit obtained his medical degree from the University of Melbourne Medical School, Australia, in 1996, undertook a residency in Internal Medicine at the Royal Melbourne Hospital, and completed a Fellowship in Rehabilitation Medicine through the Royal Australasian College of Physicians. His sub-specialty is Cardiac Rehabilitation, and he has practiced in both public and private hospital settings in Australia, the UK, and Thailand. He also served as a medical officer with the Royal Thai Air Force for three years. He was a Sloan Fellow at Stanford University’s Graduate School of Business, USA, from July 2013 to June 2014, and received an MSc in Management after this time. 
Dr Num Tanthuwanit was the CEO of Bumrungrad International Hospital from  July 2014-2017. Prior to this appointment he was the hospital’s Medical Director from 2012.  During his time at Bumrungrad he oversaw the development of several new clinical programs with emphasis on integrating new technologies, continuous quality improvement,  improving the patient experience, organizational alignment, exploring new markets globally, and operational improvements. In April 2018, he will be taking on the role of Group CEO of Omni International Hospitals in Jakarta, Indonesia, overseeing 4 hospitals across Indonesia.",yes
Y,N,N,N,Sauwanee,Thairunroj,SauwaneeThairunroj,sauwanee.jpg,N,"President, University of Thai Chamber of Commerce","As president of the University of the Thai Chamber of Commerce, Sauwanee saw the opportunity to create a stronger entrepreneurship ecosystem for Thailand, by bringing together the business community, government organizations, universities, investors, and entrepreneurs. She launched a partnership with MIT’s Regional Entrepreneurship Acceleration Program (REAP) and created the UTCC Innovation Driven Entrepreneurship Center to run the major initiative of the MIT/REAP Partnership: the Thailand IDE Network, linking universities, research centers, and innovation nodes across the country. Sauwanee is a Fullbright Scholar and was trained as an economist. She has extensive advanced training in entrepreneurship, innovation, and design thinking.",yes
Y,N,N,N,Dr. Anthony,Vanky,Dr.AnthonyVanky,vanky.jpg,Y,"Lecturer, MIT Department of Urban Studies and Planning and Program Manager, MIT designX Accelerator","Anthony Vanky, Ph.D. is a lecturer in Urban Design and Planning at the Department of Urban Studies and Planning at the Massachusetts Institute of Technology (MIT). He also currently serves as the programs director for MIT designX, the academic platform dedicated to advancing innovation and entrepreneurship in design, cities and the human environment. Until recently, Anthony was also a project lead at the MIT Senseable City Lab. He also served as the Lab’s partner and outreach strategist, where he connected companies’ and governments’ interests in smart cities to the research of the Lab and MIT. Further, Anthony’s own research considers the use of digital data and pervasive sensing technologies in designing, planning and evaluating urban environments, and spans the disciplines of urban design, urban technologies, innovation studies, and public health.",Yes
Y,N,N,N,Rodrigo,Veloso,RodrigoVeloso,Veloso.jpg,N,"CEO, O.N.E.","Rodrigo Veloso is a serial entrepreneur and investor who believes in responsible industry leadership, which translates into creating profitable growth in harmony with environmental sustainability. He is the founder of O.N.E. Coconut Water. As the CEO of O.N.E., Rodrigo built the O.N.E. brand into a multi-million dollar business with distribution in over 25,000 retail stores in the US and Canada. Nearly 2,000 jobs were generated by the partnerships and supply network for O.N.E. Coconut Water he established in Brazil, The Philippines and Indonesia. Mr. Veloso is also the principal of O.N.E. (Opportunity Never Ends) a boutique investment firm. The fund currently operates in the United States and Brazil. Rodrigo’s latest venture is O.N.E. One Natural Energy (www.onenaturalenergy.com) a tires to energy company. O.N.E. believes that the increased demand for energy can be met in part by transforming waste into electricity.",yes
n,n,n,y,Palmmy,Wong,PalmmyWong,palmmy.jpg,N,"Co-founder, Siam Organic Co., Ltd.","Palmmy is a Co-founder of Siam Organic Co., Ltd., a social enterprise from Thailand which aims to sustainably solve the problem of farmers’ poverty in Thailand by bringing innovative, healthy and delicious products to the global consumers under brand Jasberry®. Since its establishment in 2011, it is now working with over 1,000 small-scale farmers in North East, the most impoverished region in Thailand, and able to achieved social impact of over USD 1.72 million increased income for the farmers in year 2015, with SROI of 4.3x. The average earning of Jasberry rice farmers is now 14x higher than the average Thai rice farmers.",yes
Y,N,N,N,Dr. Chanikarn,Wongviriyawong,Dr.ChanikarnWongviriyawong,chanikarn.jpg,Y,"Founder, EATLAB","Chanikarn or Mint is a faculty member at King Mongkut University of Technology (KMUTT) at Thonburi, pioneering quantification of grit, happiness, and cognition. She founded EATLAB as a spinout from KMUTT. EATLAB is the first company in the world to serve leading food and beverage production companies by scientifically measuring consumer response to their new products. She serves on various committee such as Science, Technology and Innovation reform; and provide consultancy to various agencies about innovation, data analytics, affective and cognitive modeling, and commonsense artificial intelligence. Prior to joining KMUTT, Chanikarn was a quantitative researcher at WorldQuant, and co-founded a social enterprise, Matternet, as a part of her participation at Singularity University program. Matternet is a drone delivery network now partnering with Mercedes-Benz, and WHO. Chanikarn received her academic training in Mechanical Engineering. She graduated from MIT with a doctoral degree in Mechanical Engineering with a minor in Political Science, master degree from MIT Media Lab, and bachelor degree from Carnegie Mellon University with double minors in Robotics and Computer Science.",yes 
N,N,Y,N,Jeremy,Geiger,JeremyGeiger,Jeremy-Geiger.jpg,N,"Managing Director, Foursquare Asia-Pacific","Jeremy Geiger is the Managing Director of Foursquare's expanding global business in Asia-Pacific, where he works with leading companies including Tencent, Samsung, Naver, and others that partner with Foursquare to incorporate location technology and insights into their products and solutions.
Previously, Jeremy was the Founder & CEO of Palo Alto-based Retailigence (Awarded Top 100 Analytics Startups by Forbes in 2015), where he integrated 200,000 stores into Online-to-Offline digital marketing commerce solutions.
Before Retailigence, Jeremy spent 15 years starting-up, managing and growing Asian subsidiaries for international software and data companies.
He has a Bachelor of Mathematics with Honours from the University of Waterloo in Canada and an Executive MBA from a Kellogg School of Management affiliated University in Asia. He has been a frequent speaker and contributor to Mobile and Digital Marketing conferences such as Mobile Marketing Association (MMA), MediaPost, OMMA, Oppenheimer, AdvertisingWeek, Ad:Tech New York & San Francisco, AdAge, Pacific Crest Securities, BIA/Kelsey, GS1, Path-to-Purchase Institute (awarded ""Faculty""), CES, Red Herring, SWELL, e27, BrandConnect, and more.",
